0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:22:05 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8723
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:22:56 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8772
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:22:56 +0530] "GET /Abacus/img/abakus-grunder1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:22:58 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8772
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:23:06 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8772
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:23:07 +0530] "GET /Abacus/img/abakus-grunder1.jpg HTTP/1.1" 200 99066
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:24:38 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8911
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:24:50 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8912
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:24:59 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8913
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:25:10 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8924
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:25:25 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8928
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:26:01 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8942
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:26:09 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8941
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:27:15 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8819
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:28:13 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8958
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:32:31 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8982
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:32:31 +0530] "GET /Abacus/img/abakus-grunder1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:32:33 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8982
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:33:01 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 9035
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:33:05 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 9035
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:44:08 +0530] "GET /Abacus/Index.jsp HTTP/1.1" 200 8929
0:0:0:0:0:0:0:1 - - [25/Dec/2019:17:44:09 +0530] "GET /Abacus/img/abakus-grunder1.jpg HTTP/1.1" 304 -
